userid,venueid,timestamp
Eddard_Stark,King's Landing,2020-01-01T06:22:22.0
Petyr_Baelish,King's Landing,2020-01-01T06:22:22.0
Royal_Steward,King's Landing,2020-01-01T06:22:22.0
Eddard_Stark,King's Landing,2020-01-01T06:25:51.0
Petyr_Baelish,King's Landing,2020-01-01T06:25:51.0
Barristan_Selmy,King's Landing,2020-01-01T06:25:51.0
Sandor_Clegane,King's Landing,2020-01-01T06:25:51.0
Royal_Steward,King's Landing,2020-01-01T06:25:51.0
Vayon_Poole,King's Landing,2020-01-01T06:28:28.0
Sansa_Stark,King's Landing,2020-01-01T06:29:10.0
Sansa_Stark,King's Landing,2020-01-01T06:32:26.0
Sandor_Clegane,King's Landing,2020-01-01T06:32:26.0
Eddard_Stark,King's Landing,2020-01-01T06:36:05.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T06:41:02.0
Petyr_Baelish,King's Landing,2020-01-01T06:41:02.0
Sansa_Stark,King's Landing,2020-01-01T06:41:02.0
Eddard_Stark,King's Landing,2020-01-01T07:16:41.0
Sansa_Stark,King's Landing,2020-01-01T07:22:50.0
Sandor_Clegane,King's Landing,2020-01-01T07:22:50.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T07:22:50.0
Petyr_Baelish,King's Landing,2020-01-01T07:22:50.0
Barristan_Selmy,King's Landing,2020-01-01T07:22:50.0
Royal_Steward,King's Landing,2020-01-01T07:22:50.0
Eddard_Stark,King's Landing,2020-01-01T07:29:15.0
Drogon,Vaes Dothrak,2020-01-01T04:45:30.0
Viserion,Vaes Dothrak,2020-01-01T04:45:30.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T04:57:19.0
Rhaego,Vaes Dothrak,2020-01-01T04:57:19.0
Drogon,Vaes Dothrak,2020-01-01T04:59:34.0
Viserion,Vaes Dothrak,2020-01-01T04:59:34.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T04:59:34.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T05:29:10.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T05:58:22.0
Rakharo,Vaes Dothrak,2020-01-01T05:58:22.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T05:58:55.0
Little_Bird,Vaes Dothrak,2020-01-01T05:58:55.0
Rakharo,Vaes Dothrak,2020-01-01T06:02:06.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T06:02:06.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T06:20:46.0
Rakharo,Vaes Dothrak,2020-01-01T06:20:46.0
Jorah_Mormont,Vaes Dothrak,2020-01-01T06:21:07.0
Tyrion_Lannister,Eastern Road,2020-01-01T04:14:47.0
Bronn,Eastern Road,2020-01-01T04:14:47.0
Robin_Arryn,The Eyrie,2020-01-01T04:21:46.0
Vardis_Egen,The Eyrie,2020-01-01T04:21:46.0
Robin_Arryn,The Eyrie,2020-01-01T05:07:07.0
Vardis_Egen,The Eyrie,2020-01-01T05:07:07.0
Bronn,The Eyrie,2020-01-01T05:07:07.0
Rodrik_Cassel,The Eyrie,2020-01-01T05:07:07.0
Bronn,The Eyrie,2020-01-01T05:17:32.0
Vardis_Egen,The Eyrie,2020-01-01T05:17:32.0
Robin_Arryn,The Eyrie,2020-01-01T05:17:32.0
Rodrik_Cassel,The Eyrie,2020-01-01T05:17:32.0
Robin_Arryn,The Eyrie,2020-01-01T06:44:22.0
Osha,The Wolfswood,2020-01-01T04:50:49.0
Wallen,The Wolfswood,2020-01-01T04:50:49.0
Lancel_Lannister,The Kingswood,2020-01-01T05:09:00.0
Renly_Baratheon,The Kingswood,2020-01-01T05:09:00.0
Jaime_Lannister,Lannister Camp,2020-01-01T05:35:45.0
Tywin_Lannister,Lannister Camp,2020-01-01T05:35:45.0
Tywin_Lannister,Lannister Camp,2020-01-01T07:13:43.0
Chella,Lannister Camp,2020-01-01T07:13:43.0
Lannister_Messenger,Lannister Camp,2020-01-01T07:13:43.0
Tywin_Lannister,Lannister Camp,2020-01-01T07:47:57.0
Tyrion_Lannister,To the Westerlands,2020-01-01T06:45:45.0
Tyrion_Lannister,To the Westerlands,2020-01-01T06:48:36.0
Shagga,To the Westerlands,2020-01-01T06:48:36.0
Jorah_Mormont,Lhazareen Village,2020-01-01T06:54:11.0
Rakharo,Lhazareen Village,2020-01-01T06:54:11.0
Irri,Lhazareen Village,2020-01-01T06:54:11.0
Mirri_Maz_Duur,Lhazareen Village,2020-01-01T06:54:11.0
Jorah_Mormont,Lhazareen Village,2020-01-01T06:58:24.0
Irri,Lhazareen Village,2020-01-01T06:58:24.0
Rakharo,Lhazareen Village,2020-01-01T06:58:24.0
Mirri_Maz_Duur,Lhazareen Village,2020-01-01T06:58:24.0
Rodrik_Cassel,The Neck,2020-01-01T07:06:01.0
Greatjon_Umber,The Neck,2020-01-01T07:07:09.0
Theon_Greyjoy,The Neck,2020-01-01T07:07:09.0
Rodrik_Cassel,The Neck,2020-01-01T07:07:09.0
Rodrik_Cassel,The Neck,2020-01-01T07:14:16.0
Greatjon_Umber,The Neck,2020-01-01T07:14:16.0
Theon_Greyjoy,The Neck,2020-01-01T07:14:16.0
Theon_Greyjoy,The Neck,2020-01-01T07:16:31.0
Greatjon_Umber,The Neck,2020-01-01T07:16:31.0
Rodrik_Cassel,The Neck,2020-01-01T07:16:31.0
Robb_Stark,The Twins,2020-01-01T07:31:02.0
Walder_Frey,The Twins,2020-01-01T07:32:38.0
Joyeuse_Erenford,The Twins,2020-01-01T07:32:38.0
Ryger_Rivers,The Twins,2020-01-01T07:32:38.0
Walder_Frey,The Twins,2020-01-01T07:34:31.0
Robb_Stark,The Twins,2020-01-01T07:40:21.0
Daenerys_Targaryen,The Desert,2020-01-01T07:46:09.0
Khal_Drogo,The Desert,2020-01-01T07:46:09.0
Jorah_Mormont,The Red Waste,2020-01-01T07:58:16.0
Mirri_Maz_Duur,The Red Waste,2020-01-01T07:58:16.0
Rakharo,The Red Waste,2020-01-01T07:58:16.0
Ghost,Castle Black,2020-01-01T08:47:12.0
Jeor_Mormont,Castle Black,2020-01-01T09:03:44.0
Jeor_Mormont,Castle Black,2020-01-01T09:04:30.0
Three-Eyed_Raven,Winterfell,2020-01-01T08:22:37.0
Osha,Winterfell,2020-01-01T08:23:08.0
Hodor,Winterfell,2020-01-01T08:23:08.0
Osha,Winterfell,2020-01-01T08:24:24.0
Shaggydog,Winterfell,2020-01-01T08:24:24.0
Osha,Winterfell,2020-01-01T08:24:51.0
Northern_Lord,Winterfell,2020-01-01T09:23:27.0
Hodor,Winterfell,2020-01-01T09:25:31.0
Osha,Winterfell,2020-01-01T09:25:31.0
Hodor,Winterfell,2020-01-01T11:00:53.0
Hodor,Winterfell,2020-01-01T11:01:26.0
Arya_Stark,King's Landing,2020-01-01T08:13:14.0
Street_Urchin,King's Landing,2020-01-01T08:13:14.0
Arya_Stark,King's Landing,2020-01-01T08:18:44.0
Yoren,King's Landing,2020-01-01T08:18:44.0
Petyr_Baelish,King's Landing,2020-01-01T08:18:44.0
Joffrey_Baratheon,King's Landing,2020-01-01T08:18:44.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T08:18:44.0
